customer_id,name,email,phone_number,signup_date,country,last_active
1,Jason Parker,stacyclark@example.org,347.623.6927x9120,2025-05-23,UK,2025-11-01
2,Jacob Hughes,barry31@example.com,001-813-476-0516,2023-07-08,India,2024-06-06
3,Christopher Yates,bwilliams@example.org,(622)374-8590x29740,2025-10-03,Canada,2025-12-12
4,Mark Macias,blairmichelle@example.com,210-492-1015x001,2024-09-26,India,2025-05-03
5,Miranda Barnett,kyle47@example.net,302.903.3923x44769,2024-05-03,UK,2024-06-23
6,Heather Carlson,howellaustin@example.org,309-595-4874,2023-03-22,UK,2024-09-03
7,Bobby Berry,heather76@example.org,646-794-1540,2024-12-02,Germany,2025-02-25
8,John Medina DDS,williamsrichard@example.org,+1-537-921-1284x683,2025-02-28,UK,2025-11-27
9,Paul Richardson,ashleycline@example.org,(447)902-7270,2024-04-09,UK,2025-02-12
10,Katherine Wallace,kellerkelly@example.net,788-213-3640x7607,2023-01-19,Canada,2025-08-22
11,Thomas Palmer,vmiller@example.org,,2024-05-09,UK,2024-11-16
12,Melissa Rios,turnerjohnny@example.com,(557)438-0840,2025-05-10,USA,2025-08-08
13,Lucas Mueller,tiffany57@example.com,942-438-7168,2024-11-26,Germany,2025-09-07
14,Amanda Williams,jennifer40@example.com,001-550-426-4335x717,2025-01-29,Germany,2025-12-11
15,Dakota Mcgee,patrick95@example.org,001-230-759-1413,2023-07-31,USA,2024-08-13
16,Aaron Adams,ograves@example.net,+1-422-217-1497,2025-04-05,Canada,2025-10-30
17,Kelly Moore,taranorris@example.net,+1-489-720-4002x372,2024-07-09,India,2024-09-01
18,Matthew Perry,thomaserin@example.net,(525)647-8656,2023-03-16,Canada,2023-08-27
19,Joel Davis,devinwhite@example.org,+1-720-537-1999x8479,2023-02-26,India,2023-11-14
20,Kimberly Torres,curtis55@example.net,+1-637-396-5181x3449,2023-05-09,India,2025-09-08
21,Benjamin Clarke,justin52@example.net,(790)647-0246x634,2025-01-16,UK,2025-06-12
22,Jillian Fields,twerner@example.org,+1-897-768-3763x900,2023-10-14,Canada,2024-11-18
23,Timothy Murphy,aboyer@example.org,347.357.5664x66078,2025-01-04,Germany,2025-05-28
24,Valerie Nelson,medinalori@example.com,+1-272-439-6119x0549,2023-10-30,UK,2024-05-13
25,Casey Shaw,tsilva@example.com,001-412-725-4899x7460,2025-11-16,Canada,2025-11-18
26,Mary Wallace,taylorbrittany@example.com,(756)816-9529,2025-06-30,Germany,2025-12-26
27,Madison Williams,rosefoster@example.net,808.615.6266,2024-01-12,Germany,2024-10-03
28,Brad Pierce,kruiz@example.net,316.859.9052x6257,2024-11-02,Germany,2025-03-20
29,Virginia Jones,micheletaylor@example.com,438-273-5070x26418,2024-08-13,Germany,2025-11-08
30,Tina Gutierrez,dianehaley@example.org,001-819-542-2589x931,2023-01-27,USA,2025-09-30
31,Roy Hill,daniel07@example.net,(963)524-2080x537,2026-01-02,Canada,2026-01-07
32,Gregory Schmidt,michael80@example.net,+1-737-899-7253x5295,2025-03-15,UK,2025-10-20
33,Joseph Hodges,evanhunt@example.net,657.891.1482x03301,2023-06-15,India,2025-06-12
34,Amanda Lopez,chendon@example.org,+1-618-878-7857x19948,2023-08-23,Canada,2025-07-30
35,Gabriel Nash,pcaldwell@example.org,362.503.0080x787,2025-09-06,Canada,2025-09-22
36,Tammy Cole,natashaconner@example.com,820-584-8507x649,2023-10-14,Germany,2024-02-15
37,Sandra Mann,brad43@example.net,(352)246-8459x751,2025-04-28,Germany,2025-06-12
38,William Wheeler,mgriffin@example.net,(785)887-8757x7022,2025-09-06,India,2025-10-13
39,Shawn Mendoza,gamblekelly@example.org,,2024-09-18,India,2025-09-21
40,Robert Hill,jennifer61@example.com,467.517.0058,2025-03-08,UK,2025-11-04
41,Jose Mcfarland,christopher72@example.org,,2023-03-20,Germany,2023-11-07
42,Catherine Wright,edwin08@example.net,001-334-998-2004x639,2024-07-08,Germany,2025-09-13
43,Robert Bradley,brownkimberly@example.net,466-765-7532,2023-11-18,Canada,2025-10-20
44,Brian Turner,maria14@example.com,376.501.9792x71487,2024-04-16,India,2025-11-05
45,Brandon Huerta,angelaharris@example.org,+1-301-221-5686x63333,2024-12-09,UK,2025-10-31
46,Michael Rodriguez,kharris@example.net,293-222-3245,2025-01-09,India,2025-08-22
47,Jason Watkins,xhughes@example.net,299-546-1807x52897,2023-03-23,UK,2023-09-01
48,Dr. Jessica Rodriguez MD,angelabradley@example.org,(300)418-4326,2024-05-27,Germany,2024-12-29
49,Brian Gutierrez,keithheidi@example.org,621.818.2294,2024-08-08,USA,2025-02-19
50,Gina Barnes,michael04@example.net,950-909-8342x2038,2023-11-28,India,2024-11-04
51,Dwayne Shannon,elizabethcraig@example.net,+1-471-235-4427x14356,2023-12-13,UK,2025-02-13
52,Carl Sanchez,bradleystevens@example.com,959-899-7777x14371,2023-05-17,India,2023-11-08
53,Joseph Harrell,hcook@example.org,(805)734-5782x788,2023-04-30,Germany,2024-02-02
54,Jasmine Gonzalez,michaelhart@example.com,532-713-4297x465,2023-11-29,UK,2025-02-28
55,Sarah Walsh,erik49@example.org,2635946912,2025-04-02,USA,2025-11-27
56,Tommy Morris,abrady@example.net,+1-921-583-4183x639,2023-06-11,Germany,2024-03-18
57,Mackenzie Welch,lewisnancy@example.net,633.461.1500x24901,2023-07-13,USA,2024-02-06
58,Sarah York,sethjackson@example.com,+1-476-601-2541,2024-12-05,USA,2025-07-08
59,Brian Walsh,ccowan@example.org,282.253.3306x366,2025-06-08,USA,2025-11-01
60,Christian Carrillo,davidhuber@example.org,(223)584-7758x5951,2023-06-16,UK,2025-09-26
61,Phillip Harding,,(286)530-0648x168,2025-12-25,India,2025-12-29
62,Joshua Griffith,tanya16@example.org,964.271.8430,2023-12-20,UK,2024-01-05
63,James Carr,petersamber@example.com,,2024-07-21,UK,2025-03-27
64,Troy Sellers,davidfoster@example.org,480.577.1677x2992,2024-09-12,UK,2025-01-20
65,William Baker,theresa54@example.com,404-385-3300x90246,2024-04-06,UK,2025-12-05
66,John Mack,ccampbell@example.org,617.335.2165,2025-10-28,Germany,2026-01-01
67,Lauren Anderson,rcruz@example.org,5935771588,2025-01-09,USA,2025-09-20
68,Jennifer Mccarthy,tinamitchell@example.org,8616276368,2025-10-22,UK,2025-11-02
